Target author,Accuracy,F1,TP,FP,FN,TN
Albertus Magnus,0.990909090909091,0.0,0,0,1,109
Anonymus,0.990909090909091,0.6666666666666666,1,0,1,108
Antonio Pelacani da Parma,1.0,1.0,0,0,0,110
Bartholomeus de Bononia,1.0,1.0,0,0,0,110
BeneFlorentinus,1.0,1.0,0,0,0,110
BenvenutoDaImola,0.990909090909091,0.6666666666666666,1,1,0,108
BoncompagnoDaSigna,1.0,1.0,1,0,0,109
Cicchus Esculanus,0.990909090909091,0.0,0,1,0,109
ClaraAssisiensis,0.990909090909091,0.0,0,0,1,109
Dante,0.9090909090909091,1.0,0,6,4,100
FilippoVillani,1.0,1.0,0,0,0,110
GiovanniBoccaccio,0.8545454545454545,0.2,2,10,6,92
GiovanniDelVirgilio,0.990909090909091,0.0,0,0,1,109
Girardus Cremonensis,1.0,1.0,1,0,0,109
GrazioloBambaglioli,1.0,1.0,0,0,0,110
Guglielmo di Moerbeke,1.0,1.0,0,0,0,110
Guido Vernani,0.990909090909091,0.0,0,0,1,109
GuidoDaPisa,1.0,1.0,0,0,0,110
GuidoDeColumnis,1.0,1.0,0,0,0,110
GuidoFaba,0.7727272727272727,0.4444444444444445,10,11,14,75
IacobusDeVaragine,1.0,1.0,0,0,0,110
Iohannes De Sacrobosco,1.0,1.0,0,0,0,110
Iohannes Peckham,1.0,1.0,0,0,0,110
IohannesDeAppia,1.0,1.0,0,0,0,110
IohannesDePlanoCarpini,1.0,1.0,0,0,0,110
IulianusDeSpira,1.0,1.0,0,0,0,110
Kilwardby,1.0,1.0,0,0,0,110
Michael Scotus,1.0,1.0,0,0,0,110
Misc,0.8818181818181818,1.0,0,4,9,97
NicolaTrevet,1.0,1.0,1,0,0,109
Nicole Oresme,1.0,1.0,1,0,0,109
PierDellaVigna,0.9272727272727272,0.9,36,0,8,66
PietroAlighieri,1.0,1.0,0,0,0,110
Ptolemaeus Lucensis,1.0,1.0,0,0,0,110
RaimundusLullus,1.0,1.0,0,0,0,110
Robertus Anglicus,1.0,1.0,0,0,0,110
Robertus Grosseteste,0.990909090909091,0.0,0,0,1,109
RyccardusDeSanctoGermano,1.0,1.0,0,0,0,110
Thomas De Aquino,1.0,1.0,3,0,0,107
Tolomeo da Lucca,1.0,1.0,0,0,0,110
ZonoDeMagnalis,1.0,1.0,0,0,0,110
